num_res,num_rot,num_qubits,ground_state,cpu_calls
2,3,6,-2.2999461889266968,288
2,3,6,-2.2999461889266968,2772
2,4,8,-4.152577698230743,5632
2,5,10,-8.785525470972061,8500
2,6,12,-10.309481078758836,19152
2,7,14,-10.312078410759568,148764
3,2,6,-3.6565208174288273,17300088
3,3,9,-6.8318255841732025,58386420
3,4,12,-7.33822276443243,138416112
3,5,15,-10.935793150216341,2025
3,6,18,-10.5337521340698,100116
3,7,21,-9.092367412522435,48951
4,2,8,-3.941317102406174,40994816
4,3,12,-9.340839894022793,138397392
4,4,16,-24.247547160368413,328234240
4,5,20,-35.21860002540052,1468000
4,6,24,-49.56884562096093,726336
4,7,28,-56.600250545772724,613872
5,3,15,-31.77917326725401,141075
5,5,25,-70.9130015665105,1018125
5,6,30,-89.90279388812633,2002500
6,3,18,-32.53639870427742,2916
6,5,30,-98.15023197569462,834300
6,6,36,-136.11855305588642,3313872
