num_res,num_rot,num_qubits,ground_state,cpu_calls_mean,std_cpu_calls,successful_runs,total_runs,convergence_ratio
2,2,4,-0.2284452766180039,361.28,346.6737394150298,100,100,1.0
2,3,6,-2.298123389482498,975.6,765.4974852995925,100,100,1.0
2,4,8,-4.152577698230743,6563.2,5491.799501074306,100,100,1.0
2,5,10,-8.785525470972061,87352.0,81533.01476089303,100,100,1.0
2,6,12,-10.309481078758836,391524.48,322204.66214244877,100,100,1.0
2,7,14,-10.312078410759568,643787.48,513349.74626682105,100,100,1.0
2,8,16,-9.5785628631711,840289.28,842093.3597562455,100,100,1.0
2,9,18,-9.05886337161064,1008067.68,854550.0164364737,100,100,1.0
2,10,20,-7.513929039239883,1217292.0,1092519.80281183,100,100,1.0
2,11,22,-8.308686085045338,1340830.04,1344458.7887790678,100,100,1.0
2,12,24,-9.238671824336052,1791774.72,1611612.3528226388,100,100,1.0
2,13,26,-9.731192454695702,1922435.84,1518268.2666510735,100,100,1.0
2,14,28,-9.022168219089508,2801506.4,2388913.504077299,100,100,1.0
2,15,30,-11.135131433606148,3361464.0,2990629.5562814195,100,100,1.0
3,2,6,-2.4279450960457325,377.28,475.1585436462235,100,100,1.0
3,3,9,-8.259244199842215,7116.66,6092.67570156167,100,100,1.0
3,4,12,-15.151190038770435,13842.72,13987.517736953901,100,100,1.0
3,5,15,-19.57805623486638,27571.5,31858.799023974523,100,100,1.0
3,6,18,-23.62992981262505,311266.8,243438.466737531,100,100,1.0
3,7,21,-29.00557285733521,7700760.18556701,4227069.705481653,97,100,0.97
3,8,24,-33.11508227698505,15133002.0,6409436.007589747,96,100,0.96
3,9,27,-37.71335825696588,21164394.94897959,8879665.28754792,98,100,0.98
3,10,30,-40.57445054128766,30080002.040816326,12851454.239310736,98,100,0.98
3,11,33,-44.09128909185529,36297492.3367347,17377126.52618153,98,100,0.98
3,12,36,-48.81730864755809,46254501.957446806,23485600.645368498,94,100,0.94
3,13,39,-56.063067864626646,61290029.75510204,29985100.28891494,98,100,0.98
3,14,42,-62.33402601908893,72111647.13402061,35500631.19513081,97,100,0.97
3,15,45,-70.65273689106107,86873925.76530612,49710010.567713104,98,100,0.98
4,2,8,-2.342811832204461,10103.68,8325.485723824168,100,100,1.0
4,3,12,-6.630998300388455,46972.8,42321.029189753885,100,100,1.0
4,4,16,-21.897147878538817,167165.44,166494.14786930618,100,100,1.0
4,5,20,-35.78897044819314,3690700.0,2784903.503032017,100,100,1.0
4,6,24,-52.37315536302049,5643809.28,4433501.848388648,100,100,1.0
4,7,28,-63.128022619872354,7790537.44,6076535.634623229,100,100,1.0
4,8,32,-34.16328587196767,54936146.58064516,5113081.540441806,31,100,0.31
4,9,36,-33.54975719936192,79369632.0,13762208.643712657,37,100,0.37
4,10,40,-33.59295381046832,107755356.09756097,18804286.354926437,41,100,0.41
4,11,44,-33.01171652786434,161419280.0,12521565.51698804,11,100,0.11
4,12,48,-33.18086216971278,195761964.52173913,21637728.24332788,23,100,0.23
5,2,10,-3.17943874001503,17234.0,17000.013058818513,100,100,1.0
5,3,15,-25.632219582796097,435048.75,357897.8388516582,100,100,1.0
5,4,20,-41.59553128480911,7211280.808080808,3906605.0953798536,99,100,0.99
5,5,25,-56.03688323218376,14327325.0,5399714.2806934705,100,100,1.0
5,6,30,-75.36597106279805,35305709.09090909,9206083.805975514,99,100,0.99
5,7,35,-92.58937311638148,64994693.279569894,13280379.363834228,93,100,0.93
5,8,40,-104.42886861832812,106698987.95180723,16415349.942310993,83,100,0.83
5,9,45,-123.93904180312528,144009447.60638297,25697225.721164837,94,100,0.94
5,10,50,-142.05236631073058,207189634.83146068,30981638.249852795,89,100,0.89
6,2,12,-5.857497677206993,13474.08,11888.894212398392,100,100,1.0
6,3,18,-28.79571735113859,241052.76,216707.51805154895,100,100,1.0
6,4,24,-59.2769879847765,781718.4,704593.5503600356,100,100,1.0
6,5,30,-96.9921099320054,1484208.0,1215785.8543904843,100,100,1.0
6,6,36,-145.2143705077469,48996731.52,11845713.498613808,100,100,1.0
6,7,42,-176.26580385118723,56191267.44,16672900.52950638,100,100,1.0
6,8,48,-211.2191622853279,105178567.68,30788684.824182305,100,100,1.0
7,2,14,-5.554185301065445,29940.96,27556.946473047406,100,100,1.0
7,3,21,-38.21292766183615,1364833.26,1162773.2304979903,100,100,1.0
7,4,28,-66.54952100664377,12384165.92,5951085.586972419,100,100,1.0
7,5,35,-109.15383614599703,48903837.5,16081785.531500576,100,100,1.0
7,6,42,-189.1870613619685,108285715.44,21646566.39906902,100,100,1.0
7,7,49,-244.42450068891048,175217802.5425532,32680698.57272938,94,100,0.94
8,3,24,-30.58313428610564,2499857.28,2088567.9278114277,100,100,1.0
8,4,32,-68.26824312284589,32372305.92,11422811.252842423,100,100,1.0
8,5,40,-108.30105293542148,102893600.0,13976155.660266524,96,100,0.96
8,6,48,-148.1148628364317,204764256.0,24789199.513651423,8,100,0.08
9,2,18,-4.604846149682999,174687.84,164644.30824870444,100,100,1.0
9,3,27,-29.547375470399857,9875697.39,5200251.702745668,100,100,1.0
9,4,36,-57.15322810970247,51636087.36,8378598.738826662,100,100,1.0
9,5,45,-78.6948749050498,138294000.0,25626589.302936412,90,100,0.9
10,2,20,-9.757993001490831,4685264.0,2206647.63782168,100,100,1.0
10,3,30,-45.02236979827285,27184230.0,9547622.46336228,100,100,1.0
10,4,40,-95.63097138889134,71551024.0,21922080.67776925,100,100,1.0
10,5,50,-574.5483158938587,219937906.97674417,24519893.619656134,43,100,0.43
