num_res,num_rot,num_qubits,ground_state,cpu_calls
2,2,4,-0.2284452766180039,336
2,2,4,-0.2284452766180039,656
2,2,4,-0.2284452766180039,2144
3,2,6,-2.4279450960457325,108
3,2,6,-2.4279450960457325,216
2,3,6,-2.298123389482498,2124
3,2,6,-2.4279450960457325,12600
2,4,8,-4.152577698230743,3328
4,2,8,-2.342811832204461,4032
4,2,8,-2.342811832204461,6272
4,2,8,-2.342811832204461,33280
3,3,9,-8.259244199842215,3888
5,2,10,-3.17943874001503,4100
5,2,10,-3.17943874001503,15500
2,5,10,-8.785525470972061,44700
5,2,10,-3.17943874001503,99100
6,2,12,-5.857497677206993,1152
4,3,12,-6.630998300388455,15120
3,4,12,-15.151190038770435,32976
6,2,12,-5.857497677206993,34416
2,6,12,-10.309481078758836,127152
6,2,12,-5.857497677206993,566352
7,2,14,-5.554185301065445,2940
7,2,14,-5.554185301065445,40768
7,2,14,-5.554185301065445,40768
2,7,14,-10.312078410759568,189336
7,2,14,-5.554185301065445,5107564
3,5,15,-19.57805623486638,12150
5,3,15,-25.632219582796097,23625
2,8,16,-9.5785628631711,35072
4,4,16,-21.897147878538817,69632
9,2,18,-4.604846149682999,36288
3,6,18,-23.62992981262505,231336
6,3,18,-28.79571735113859,324648
2,9,18,-9.05886337161064,325620
4,5,20,-35.78897044819314,50800
2,10,20,-7.513929039239883,244000
10,2,20,-9.757993001490831,313600
5,4,20,-41.59553128480911,11536000
5,4,20,-41.59553128480911,27987600
7,3,21,-38.21292766183615,376614
7,3,21,-38.21292766183615,376614
3,7,21,-29.00557285733521,586089
2,11,22,-8.308686085045338,1118040
8,3,24,-30.583134286105633,58752
8,3,24,-30.583134286105633,58752
6,4,24,-59.2769879847765,566208
2,12,24,-9.238671824336052,603648
4,6,24,-52.37315536302049,733248
3,8,24,-33.11508227698505,1433664
5,5,25,-56.036883232183754,1368125
2,13,26,-9.731192454695702,1312116
9,3,27,-29.547375470399857,927288
3,9,27,-37.71335825696587,2663037
2,14,28,-9.022168219089508,1048992
4,7,28,-63.128022619872354,1274000
7,4,28,-66.54952100664377,1275568
7,4,28,-66.54952100664377,1275568
6,5,30,-96.9921099320054,379800
2,15,30,-11.135131433606148,1667700
10,3,30,-45.02236979827285,1709100
3,10,30,-40.57445054128766,2494800
5,6,30,-75.36597106279805,3384900
2,16,32,-12.90031649172306,1664000
8,4,32,-68.26824312284589,1760256
8,4,32,-68.26824312284589,1760256
4,8,32,-34.16328587196767,1853440
3,11,33,-44.09128909185529,2173644
2,17,34,-9.908525742590427,1583720
7,5,35,-109.15383614599703,3737475
7,5,35,-109.15383614599703,3737475
5,7,35,-92.58937311638148,3743600
2,18,36,-8.0413703545928,2463696
9,4,36,-57.15322810970247,3020976
3,12,36,-48.81730864755809,3271104
6,6,36,-145.2143705077469,3679344
4,9,36,-33.54975719936192,5636304
2,19,38,-5.925163693726063,704672
3,13,39,-56.063067864626646,8216442
2,20,40,-2.18593180924654,720000
5,8,40,-104.42886861832812,4112000
10,4,40,-95.63097138889134,5201600
8,5,40,-108.30105293542148,5505600
8,5,40,-108.30105293542148,5505600
4,10,40,-33.592953810468316,8152000
2,21,42,-4.06516545265913,3312792
6,7,42,-176.26580385118723,4510548
7,6,42,-189.18706136196852,5491332
7,6,42,-189.18706136196852,5491332
3,14,42,-62.33402601908893,7572852
2,22,44,-0.1873309463262558,2319328
4,11,44,-33.01171652786434,7666560
3,15,45,-70.65273689106107,5856300
9,5,45,-78.6948749050498,7028775
5,9,45,-123.93904180312528,7211025
2,23,46,1.8554036915302277,3436384
2,24,48,4.337513878941536,5939712
8,6,48,-148.1148628364317,6105600
8,6,48,-148.1148628364317,6105600
6,8,48,-211.2191622853279,8098560
3,16,48,-76.46580263972282,11195136
4,12,48,-33.18086216971278,12319488
7,7,49,-244.42450068891048,6881266
7,7,49,-244.42450068891048,6881266
5,10,50,-142.05236631073058,6620000
2,25,50,12.636599108576776,8525000
10,5,50,-574.5483158938587,9040000
2,26,52,20.46302317082882,4131712
4,13,52,-32.88410361856222,20831616
2,27,54,27.850876837968823,3193020
2,28,56,35.73753175884485,542528
4,14,56,-32.796281807124615,10003840
2,29,58,45.01190835982561,11444328
2,30,60,40.33056979626417,8568000
2,31,62,48.50780860334635,8479864
5,9,45,-123.939042,6968025
5,10,50,-142.052366,9387500
5,5,25,-56.036883,658750
5,6,30,-75.365971,1510200
5,7,35,-92.589373,3796275
5,8,40,-104.428869,7462400
