num_res,num_rot,alpha,p,shots,mean_iter,mean_shots,num_qubits
6,3,0.2,4,15,21.0,315.0,18
6,3,0.2,4,20,14.0,280.0,18
6,3,0.2,4,30,13.0,390.0,18
6,3,0.2,4,40,15.0,600.0,18
6,3,0.2,4,45,23.0,1035.0,18
6,3,0.2,4,50,10.0,500.0,18
6,4,0.2,4,15,17.0,255.0,24
6,4,0.2,4,20,22.0,440.0,24
6,4,0.2,4,25,20.0,500.0,24
6,4,0.2,4,30,13.0,390.0,24
6,4,0.2,4,35,19.0,665.0,24
6,4,0.2,4,45,42.0,1890.0,24
6,4,0.2,4,50,22.0,1100.0,24
7,3,0.2,4,15,61.0,915.0,21
7,3,0.2,4,20,25.0,500.0,21
7,3,0.2,4,25,15.0,375.0,21
7,3,0.2,4,30,10.0,300.0,21
7,3,0.2,4,35,3.0,105.0,21
7,3,0.2,4,40,11.0,440.0,21
7,3,0.2,4,45,27.0,1215.0,21
7,3,0.2,4,50,12.0,600.0,21
4,3,0.2,2,15,1.0,15.0,12
4,3,0.2,2,20,3.0,60.0,12
4,3,0.2,2,25,1.0,25.0,12
4,3,0.2,2,30,3.0,90.0,12
4,3,0.2,2,35,1.0,35.0,12
4,3,0.2,3,15,13.0,195.0,12
4,3,0.2,3,20,8.0,160.0,12
4,3,0.2,3,25,5.0,125.0,12
4,3,0.2,3,30,7.0,210.0,12
4,3,0.2,3,35,5.0,175.0,12
4,3,0.2,4,15,4.0,60.0,12
4,3,0.2,4,20,1.0,20.0,12
4,3,0.2,4,25,17.0,425.0,12
4,3,0.2,4,30,10.0,300.0,12
4,3,0.2,4,35,2.0,70.0,12
4,3,0.2,5,15,9.0,135.0,12
4,3,0.2,5,20,2.0,40.0,12
4,3,0.2,5,25,1.0,25.0,12
4,3,0.2,5,30,23.0,690.0,12
4,3,0.2,5,35,1.0,35.0,12
4,3,0.2,6,15,13.0,195.0,12
4,3,0.2,6,20,2.0,40.0,12
4,3,0.2,6,25,23.0,575.0,12
4,3,0.2,6,30,2.0,60.0,12
4,3,0.2,6,35,1.0,35.0,12
4,3,0.2,7,15,1.0,15.0,12
4,3,0.2,7,20,2.0,40.0,12
4,3,0.2,7,25,7.0,175.0,12
4,3,0.2,7,30,6.0,180.0,12
4,3,0.2,7,35,5.0,175.0,12
4,4,0.2,2,20,19.0,380.0,16
4,4,0.2,2,25,16.0,400.0,16
4,4,0.2,2,30,2.0,60.0,16
4,4,0.2,2,35,5.0,175.0,16
4,4,0.2,3,15,23.0,345.0,16
4,4,0.2,3,20,32.0,640.0,16
4,4,0.2,3,25,1.0,25.0,16
4,4,0.2,3,30,7.0,210.0,16
4,4,0.2,3,35,13.0,455.0,16
4,4,0.2,4,15,41.0,615.0,16
4,4,0.2,4,20,19.0,380.0,16
4,4,0.2,4,25,24.0,600.0,16
4,4,0.2,4,30,12.0,360.0,16
4,4,0.2,4,35,8.0,280.0,16
4,4,0.2,5,15,5.0,75.0,16
4,4,0.2,5,20,10.0,200.0,16
4,4,0.2,5,25,20.0,500.0,16
4,4,0.2,5,30,11.0,330.0,16
4,4,0.2,5,35,11.0,385.0,16
4,4,0.2,6,15,9.0,135.0,16
4,4,0.2,6,20,6.0,120.0,16
4,4,0.2,6,25,9.0,225.0,16
4,4,0.2,6,30,2.0,60.0,16
4,4,0.2,6,35,8.0,280.0,16
4,4,0.2,7,15,43.0,645.0,16
4,4,0.2,7,20,17.0,340.0,16
4,4,0.2,7,25,28.0,700.0,16
4,4,0.2,7,30,6.0,180.0,16
4,4,0.2,7,35,4.0,140.0,16
5,3,0.2,2,15,17.0,255.0,15
5,3,0.2,2,20,8.0,160.0,15
5,3,0.2,2,25,4.0,100.0,15
5,3,0.2,2,30,1.0,30.0,15
5,3,0.2,2,35,4.0,140.0,15
5,3,0.2,3,15,16.0,240.0,15
5,3,0.2,3,20,6.0,120.0,15
5,3,0.2,3,25,10.0,250.0,15
5,3,0.2,3,30,67.0,2010.0,15
5,3,0.2,3,35,14.0,490.0,15
5,3,0.2,4,15,3.0,45.0,15
5,3,0.2,4,20,15.0,300.0,15
5,3,0.2,4,25,1.0,25.0,15
5,3,0.2,4,30,58.0,1740.0,15
5,3,0.2,4,35,1.0,35.0,15
5,3,0.2,5,20,1.0,20.0,15
5,3,0.2,5,25,2.0,50.0,15
5,3,0.2,5,30,6.0,180.0,15
5,3,0.2,5,35,16.0,560.0,15
5,3,0.2,6,15,36.0,540.0,15
5,3,0.2,6,20,32.0,640.0,15
5,3,0.2,6,25,5.0,125.0,15
5,3,0.2,6,30,2.0,60.0,15
